Артикул (Part No.),Наименование (RU),Description (EN),Description (ZH),"Цена, CNY без НДС",Группа,Взаимозаменяемый артикул,Источник,Разделы
15037865,Шайба,WASHER SPRING,弹簧垫片,15.65,,,NTE240,040-0000
15037866,,,,,,,NTE240,080-0000
15037878,,BOLT,螺栓,,,,NTE240,020-0040
15037886,,BOLT,螺栓,,,,NTE240,020-0040
15037892,,,,,,,NTE240,080-0000
15037896,,CIRCLIP,卡簧,,,,NTE240,050-0080
15037897,,BEARING,轴承,,,,NTE240,050-0080
15037919,,BOLT,螺栓,,,,NTE240,040-0000
15038011,,BOLT,螺栓,,,,NTE240,050-0110 050-0180
15039821,,BOLT,螺栓,,,,NTE240,020-0030
15041177,COVER-BOARD--,CO BOARD CAB INSTRUMENTS ASSEMBLY,盖板 驾驶室仪表安装,1.2,Кабина,,NTE240,090-0050
15042116,WASHER-SEAL---,WASHER-SEAL,组合垫圈,21.09,,,NTE240,030-0190
15230178,PLUG-OIL LEVEL,WINDOW NUT,视窗螺母,202.18,,,NTE240,100-0270
15232081,,T-CLIP,夹子,,,,NTE240,020-0040
15237161,COMB-SWITCH--,COMB SWITCH,组合开关,406.23,Электрооборудование,,NTE240,090-0050
15240020,,PLATE,隔圈,,,,NTE240,020-0020
15244364,,RUBBER STRIP CAB AIR PRESSURIZER,橡胶条 驾驶室增压器,,,,NTE240,210-0423
15244929,,ADAPTOR,接头,,,,NTE240,050-0090
15251936,ADAPTER,ADAPTOR,接头,22.79,Гидравлическая система,,NTE240,050-0090 050-0170
15251938,ADAPTOR,ADAPTOR,接头,8.39,,,NTE240,050-0170
15251939,ADAPTER---,ADAPTER,接头,57.54,,,NTE240,050-0020
15251944,,ELBOW,弯头,,,,NTE240,050-0090 050-0170
15251951,TEE,TEE,三通,43.17,Гидравлическая система,,NTE240,050-0090
15251982,JOINT,ADAPTOR,接头,9.59,Гидравлическая система,,NTE240,050-0090 050-0170
15252203,,L BRACKET CAB ELECTRICAL MTG,支架 驾驶室电气安装,,,,NTE240,030-0020
15252695,,ELBOW,弯头,,,,NTE240,050-0040 050-0090
15252849,,ADAPTOR,接头,,,,NTE240,050-0090
15252902,CONNECTOR---,TEE,三通,627.12,,,NTE240,050-0090 050-0170
15252983,ELBOW,ELBOW,弯头,29.98,Гидравлическая система,,NTE240,050-0090 050-0170
15252996,Уголок,ADAPTOR,接头,84.79,,,NTE240,050-0170
15253039,PIPE CONNECTION,ADAPTOR,接头,20.39,Гидравлическая система,,NTE240,050-0170
15253042,,ADAPTOR,接头,,,,NTE240,050-0170
15253043,,ADAPTOR,接头,,,,NTE240,050-0170
15253073,TEE,TEE,三通,64.76,Гидравлическая система,,NTE240,050-0170
15253128,,TEE,三通,,,,NTE240,050-0170
15253129,ELBOW CONNECTION,ELBOW,弯头,274.63,Гидравлическая система,,NTE240,050-0090
15253242,Уголок,ELBOW,弯头,160.05,Гидравлическая система,,NTE240,050-0090
15253647,,ELBOW,弯头,,,,NTE240,050-0090 050-0170
15255442,ELBOW,,,40.77,Гидравлическая система,,NTE240,050-0170
15255698,,LADDER ASSY,梯子总成,,,,NTE240,020-0020
15256377,,ADAPTOR,接头,,,,NTE240,050-0170
15256538,TEE,TEE,三通,56.36,Гидравлическая система,,NTE240,050-0170
15256731,BOLT,BOLT,螺栓,8.85,,,NTE240,020-0030
15256755,,ADAPTOR,接头,,,,NTE240,050-0170
15257770,KEYSWITCH,KEY SWITCH,钥匙开关,524.07,Кабина,,NTE240,090-0050
15258458,,CLAMP,鞍型卡子,,,,NTE240,090-0160
15258543,,BOLT,螺栓,,,,NTE240,050-0040
15266829,#N/A,INDICATOR,指示器,299.31,Гидравлическая система,,NTE240,050-0010
15301115,,,,,,,NTE240,050-0170
15301423,RUBBER STRIP,RUBBER PLATE,橡胶板,35.98,,,NTE240,210-0240
15301424,PLATE,PLATE,板,6.52,,,NTE240,210-0240
15301637,SPIRALGUARD---,GRANT,螺旋护套,44.11,Гидравлическая система,,NTE240,030-0160 050-0170
15301699,LOAD BREAK SWITCH,LB WITCH,装载制动开关,271.98,Электрооборудование,,NTE240,090-0050
15303679,,CABLE TIE,电缆卡带,,,,NTE240,210-0350
15308924,Хомут Ø110,CLAMP,卡箍,280.47,,,NTE240,210-0920
15318915,REVERSE ALARM,RE SE ALARM,倒车报警,1624.73,Электрооборудование,,NTE240,030-0060
15334791,,ELBOW,弯头,,,,NTE240,100-0030
15366005,BOLT---,BOLT,螺栓,3.86,,,NTE240,030-0070
2000357,,VALVE THROTTLE,节流阀,,,,NTE240,050-0130
2000358,,VALVE THROTTLE,节流阀,,,,NTE240,050-0130
2000359,,VALVE THROTTLE,节流阀,,,,NTE240,050-0130
